area,num_ev,latitude,longitude
Orangi Town,465,24.956012,66.969886
North Nazimabad,76,24.949353,67.034815
Saddar,205,24.869681,67.017216
Clifton,444,24.820796,67.035849
Gulshan-e-Iqbal,361,24.916446,67.096656
Orangi Town,371,24.95797,66.963991
Malir,280,24.893575,67.218534
Gulshan-e-Iqbal,118,24.927608,67.108167
SITE,359,24.911113,66.989088
Landhi,465,24.85521,67.205446
Lyari,374,24.847743,67.006459
Malir,64,24.882319,67.214075
Shah Faisal,62,24.871816,67.159116
Clifton,481,24.815439,67.030992
Clifton,312,24.81389,67.019221
North Nazimabad,382,24.949389,67.035373
Malir,95,24.884828,67.218305
Shah Faisal,469,24.870879,67.152342
Saddar,378,24.860901,67.00537
DHA,52,24.808078,67.064769
Korangi,92,24.833234,67.127906
Orangi Town,465,24.944274,66.966126
Gulberg,137,24.92313,67.08163
SITE,58,24.922985,66.984791
Orangi Town,228,24.956895,66.962902
SITE,86,24.915921,66.992796
DHA,15,24.803861,67.070926
Orangi Town,10,24.95876,66.967541
Korangi,406,24.84502,67.124572
Gulshan-e-Iqbal,147,24.917925,67.100039
Gulshan-e-Iqbal,423,24.933454,67.0974
Saddar,419,24.852594,67.002231
North Nazimabad,400,24.94955,67.046771
North Nazimabad,375,24.93369,67.041587
Gulberg,226,24.916448,67.075797
Saddar,377,24.857322,67.00383
SITE,71,24.926107,66.990129
Malir,15,24.887052,67.218411
Malir,46,24.88007,67.217218
Gulberg,490,24.924906,67.070345
Landhi,452,24.840673,67.191047
Korangi,344,24.830946,67.135734
Clifton,32,24.812858,67.027627
North Nazimabad,224,24.939675,67.041387
Landhi,182,24.855082,67.190377
Malir,358,24.885021,67.20642
Shah Faisal,41,24.860354,67.141469
Gulberg,156,24.916351,67.084021
Saddar,108,24.856484,67.008384
DHA,307,24.804732,67.075546
Orangi Town,306,24.941031,66.954872
DHA,97,24.812013,67.064171
DHA,29,24.819252,67.06688
Korangi,274,24.836867,67.13364
North Nazimabad,283,24.947519,67.034549
Clifton,215,24.819196,67.037994
Lyari,450,24.852503,67.010269
Lyari,482,24.841965,67.003797
Saddar,488,24.857131,67.018703
North Nazimabad,76,24.944841,67.03439
Orangi Town,299,24.952105,66.956114
Malir,184,24.897899,67.213078
Korangi,178,24.846659,67.126938
DHA,354,24.803807,67.076359
North Nazimabad,232,24.951677,67.037301
Orangi Town,420,24.951494,66.953124
Clifton,197,24.805683,67.026538
Clifton,276,24.819839,67.024476
Gulshan-e-Iqbal,72,24.916858,67.100156
Landhi,64,24.843098,67.201163
Saddar,465,24.859269,67.015431
Landhi,209,24.848396,67.195059
SITE,174,24.918104,66.98603
Shah Faisal,448,24.86921,67.15654
Gulberg,394,24.910483,67.082442
Gulshan-e-Iqbal,440,24.934898,67.094775
Korangi,224,24.843972,67.128783
Gulshan-e-Iqbal,134,24.927796,67.110645
Lyari,47,24.843515,67.011332
DHA,413,24.813267,67.062736
Orangi Town,455,24.945695,66.951951
Clifton,354,24.823133,67.020639
Lyari,274,24.858205,67.017295
Orangi Town,114,24.944344,66.962791
DHA,167,24.807774,67.067298
DHA,325,24.80348,67.073883
North Nazimabad,500,24.940655,67.027578
Landhi,400,24.859833,67.208821
North Nazimabad,469,24.94369,67.037597
Saddar,309,24.863569,67.00962
SITE,66,24.92566,66.980757
Gulshan-e-Iqbal,424,24.923327,67.110818
Korangi,66,24.837888,67.126854
SITE,479,24.923193,66.991615
Korangi,64,24.831007,67.126977
Gulberg,270,24.922842,67.089874
Lyari,182,24.850001,67.011072
North Nazimabad,59,24.945311,67.047157
Gulberg,165,24.920652,67.085771
Shah Faisal,469,24.87236,67.153638
Korangi,72,24.849654,67.1283
Saddar,403,24.855757,67.013871
Clifton,342,24.821553,67.023707
Gulshan-e-Iqbal,60,24.920718,67.101482
Korangi,385,24.836124,67.131718
SITE,473,24.911283,66.983472
SITE,186,24.913915,66.984369
DHA,99,24.813505,67.067417
Landhi,258,24.848843,67.196457
SITE,272,24.925841,66.983906
Malir,392,24.897383,67.219673
Gulberg,339,24.923887,67.088967
North Nazimabad,420,24.946092,67.042756
SITE,96,24.921911,66.987814
Shah Faisal,142,24.868324,67.141355
Lyari,191,24.846478,67.00926
Shah Faisal,139,24.860053,67.157094
Lyari,350,24.845645,67.017106
Landhi,270,24.854809,67.197163
Landhi,84,24.853174,67.203229
Saddar,471,24.861836,67.001209
Korangi,406,24.832598,67.134984
Saddar,278,24.86412,67.005911
Shah Faisal,70,24.863134,67.153916
Shah Faisal,230,24.869133,67.149928
Gulshan-e-Iqbal,180,24.921175,67.103125
Shah Faisal,285,24.874228,67.14067
Korangi,424,24.847512,67.129019
Gulberg,406,24.920037,67.087986
Malir,8,24.892974,67.214146
North Nazimabad,327,24.945416,67.047095
SITE,309,24.911862,66.996824
North Nazimabad,273,24.938451,67.033679
Malir,243,24.898218,67.212228
Orangi Town,189,24.955766,66.968114
DHA,280,24.806225,67.06537
Gulshan-e-Iqbal,487,24.928856,67.100821
Shah Faisal,51,24.861059,67.143853
Gulberg,448,24.926223,67.087469
Gulshan-e-Iqbal,309,24.918784,67.098162
Malir,123,24.881078,67.217187
Shah Faisal,260,24.861176,67.145399
Landhi,408,24.845149,67.20619
Orangi Town,139,24.956261,66.950345
Gulshan-e-Iqbal,421,24.932169,67.097019
Saddar,279,24.860311,67.013658
Gulberg,315,24.914595,67.077646
Clifton,179,24.814902,67.037226
Landhi,183,24.841659,67.200154
Gulberg,203,24.917409,67.082731
Clifton,276,24.823454,67.029267
Gulshan-e-Iqbal,58,24.920922,67.093725
Landhi,384,24.849185,67.204861
Shah Faisal,494,24.872762,67.151746
Gulshan-e-Iqbal,305,24.922157,67.10132
Orangi Town,10,24.958373,66.956959
Malir,240,24.898664,67.214951
Orangi Town,289,24.947843,66.96682
Gulberg,435,24.910181,67.083059
Korangi,370,24.843563,67.138106
Shah Faisal,499,24.869247,67.154939
Saddar,453,24.865189,67.004117
Lyari,29,24.854766,67.00334
Lyari,480,24.858281,67.000397
Shah Faisal,459,24.862307,67.155972
SITE,498,24.924349,66.994832
SITE,363,24.926056,66.989954
Orangi Town,183,24.941721,66.957839
Malir,335,24.884783,67.205299
Orangi Town,413,24.945355,66.953632
North Nazimabad,247,24.932262,67.029584
Gulshan-e-Iqbal,65,24.921582,67.093145
Gulberg,478,24.925302,67.08776
Landhi,278,24.854678,67.19327
Korangi,231,24.835527,67.139339
Shah Faisal,322,24.876044,67.140087
Landhi,362,24.850958,67.199719
Landhi,10,24.847205,67.204509
Shah Faisal,384,24.872232,67.155991
Korangi,122,24.841333,67.139117
Korangi,260,24.83955,67.132523
Clifton,321,24.809435,67.036658
Malir,155,24.891882,67.220431
Clifton,220,24.809314,67.030177
Lyari,460,24.84226,67.01682
Clifton,50,24.804825,67.020785
Gulberg,424,24.9294,67.071572
Korangi,44,24.839936,67.138869
North Nazimabad,178,24.934737,67.044428
Orangi Town,315,24.954422,66.965785
Saddar,427,24.862791,67.004482
SITE,261,24.928979,66.993416
DHA,483,24.814917,67.074301
Gulshan-e-Iqbal,376,24.927657,67.111421
Saddar,406,24.85253,67.011907
SITE,48,24.914396,66.996163
Shah Faisal,210,24.860166,67.148466
Malir,369,24.897007,67.215643
Saddar,69,24.851607,67.008429
Gulberg,286,24.928682,67.083315
Shah Faisal,115,24.876225,67.140436
Saddar,341,24.864182,67.014648
Saddar,283,24.869062,67.001538
North Nazimabad,72,24.943997,67.027779
Shah Faisal,476,24.877231,67.144722
Clifton,263,24.811881,67.036152
Lyari,175,24.857059,67.007942
Landhi,152,24.851069,67.207701
SITE,292,24.919807,66.99527
Gulshan-e-Iqbal,24,24.919791,67.112421
Saddar,14,24.862711,67.015189
Gulberg,424,24.911281,67.085226
Landhi,334,24.842869,67.195024
Lyari,162,24.850412,67.015028
Shah Faisal,108,24.878152,67.157677
DHA,215,24.819737,67.076504
Korangi,494,24.831838,67.130915
Lyari,360,24.848686,67.002796
North Nazimabad,142,24.951389,67.027961
Saddar,320,24.869686,67.00575
Shah Faisal,237,24.878593,67.147214
Gulberg,319,24.927996,67.074498
Gulshan-e-Iqbal,275,24.916333,67.10091
Gulshan-e-Iqbal,153,24.917227,67.098911
Clifton,146,24.817153,67.03404
Landhi,182,24.841824,67.190498
Orangi Town,129,24.943114,66.950857
Korangi,410,24.849136,67.131914
Gulberg,339,24.917102,67.079744
Malir,81,24.88646,67.219707
North Nazimabad,416,24.940846,67.046844
Saddar,237,24.869694,67.000131
Saddar,115,24.864044,67.012105
Shah Faisal,327,24.864146,67.153729
Lyari,294,24.853749,67.014674
Gulshan-e-Iqbal,76,24.919624,67.096855
Clifton,325,24.822148,67.038109
Gulshan-e-Iqbal,471,24.932196,67.102774
Malir,273,24.885759,67.217508
Gulberg,334,24.923294,67.079278
Korangi,6,24.84808,67.136172
Shah Faisal,308,24.868322,67.148778
SITE,306,24.915615,66.9859
Gulshan-e-Iqbal,66,24.918864,67.097033
Clifton,170,24.805634,67.021506
DHA,132,24.806405,67.070061
Gulberg,383,24.92105,67.073354
SITE,334,24.926298,66.99471
Malir,18,24.895579,67.208045
Malir,16,24.888959,67.222067
Orangi Town,382,24.954261,66.954721
Gulberg,217,24.922735,67.079237
Shah Faisal,467,24.865035,67.154779
North Nazimabad,158,24.93364,67.044426
Shah Faisal,173,24.861046,67.147477
Landhi,116,24.842673,67.199809
Shah Faisal,460,24.86985,67.157072
Malir,87,24.899199,67.212999
Saddar,488,24.868492,67.012763
Lyari,150,24.84442,67.001951
North Nazimabad,315,24.940072,67.045179
Saddar,47,24.868553,67.008299
Gulberg,21,24.925742,67.086656
DHA,467,24.821167,67.076741
DHA,25,24.808802,67.061386
Shah Faisal,262,24.878257,67.154551
Gulshan-e-Iqbal,110,24.931353,67.106995
Orangi Town,467,24.959759,66.961424
Gulshan-e-Iqbal,32,24.924986,67.097292
Orangi Town,92,24.951576,66.953313
North Nazimabad,60,24.932248,67.042063
Gulshan-e-Iqbal,250,24.925704,67.110158
Malir,370,24.888154,67.215915
Shah Faisal,145,24.860351,67.159814
Korangi,430,24.843878,67.126138
Korangi,289,24.842297,67.125031
Korangi,6,24.837021,67.133168
Malir,461,24.885571,67.221178
North Nazimabad,183,24.941497,67.039783
Korangi,324,24.847827,67.123746
Orangi Town,31,24.957015,66.962213
Gulshan-e-Iqbal,408,24.936113,67.096782
North Nazimabad,321,24.939517,67.03007
SITE,131,24.927399,66.984407
Orangi Town,487,24.942839,66.959102
DHA,132,24.816151,67.060676
Saddar,79,24.861417,67.014672
Orangi Town,268,24.942314,66.952175
Landhi,404,24.852289,67.207077
Orangi Town,225,24.953231,66.969189
Clifton,196,24.806364,67.033012
DHA,269,24.815464,67.070406
Saddar,38,24.864772,67.006981
SITE,307,24.928196,66.983831
Malir,68,24.880802,67.220955
Landhi,224,24.842168,67.206183
Saddar,325,24.86944,67.010265
Gulberg,300,24.918833,67.079757
SITE,29,24.929193,66.998693
DHA,455,24.821059,67.070703
Landhi,147,24.84892,67.205883
Clifton,158,24.814398,67.031916
SITE,184,24.917888,66.98405
North Nazimabad,174,24.944005,67.035021
Shah Faisal,325,24.873533,67.146785
Gulshan-e-Iqbal,37,24.919589,67.095605
Shah Faisal,467,24.866593,67.155658
SITE,130,24.925686,66.990734
Orangi Town,11,24.945448,66.969156
Lyari,163,24.846198,67.010386
Saddar,197,24.856433,67.001693
SITE,342,24.926558,66.981178
Landhi,210,24.845641,67.206622
SITE,146,24.915137,66.980293
Gulberg,436,24.915698,67.079024
Gulberg,85,24.920845,67.080992
Landhi,252,24.857701,67.190784
Malir,471,24.897549,67.214555
Gulberg,26,24.924989,67.089934
Gulshan-e-Iqbal,486,24.916257,67.098351
SITE,49,24.914253,66.984028
Malir,431,24.89234,67.207986
Clifton,317,24.808765,67.031443
Korangi,413,24.840899,67.135448
Saddar,18,24.862636,67.019501
SITE,335,24.925594,66.982375
SITE,320,24.927667,66.995049
Gulberg,475,24.914303,67.080552
Gulshan-e-Iqbal,218,24.927368,67.098121
Orangi Town,84,24.955191,66.961792
Shah Faisal,249,24.876251,67.14341
Saddar,397,24.85065,67.008061
Landhi,380,24.842208,67.209594
Landhi,228,24.851772,67.208436
North Nazimabad,202,24.936078,67.04693
Landhi,261,24.845899,67.205835
North Nazimabad,229,24.950999,67.039413
Korangi,243,24.846766,67.124826
Gulberg,367,24.927324,67.078349
Clifton,36,24.819821,67.02403
Orangi Town,388,24.951349,66.950758
Saddar,347,24.869583,67.000186
Saddar,264,24.866822,67.003909
Lyari,123,24.850445,67.019709
Shah Faisal,149,24.873833,67.158135
DHA,87,24.803703,67.069564
Gulshan-e-Iqbal,447,24.918086,67.105513
Korangi,157,24.844062,67.125847
Gulshan-e-Iqbal,25,24.93313,67.09878
Gulberg,451,24.924042,67.081253
Shah Faisal,484,24.865939,67.155889
Orangi Town,347,24.943937,66.959394
Saddar,262,24.865244,67.005888
Lyari,496,24.852909,67.003062
SITE,147,24.91961,66.980579
DHA,258,24.808108,67.067019
Gulberg,261,24.923406,67.078021
Shah Faisal,315,24.863067,67.147565
DHA,435,24.803855,67.064074
SITE,293,24.923519,66.980373
Orangi Town,279,24.958443,66.957614
Saddar,56,24.859213,67.008165
Malir,313,24.893542,67.224806
North Nazimabad,290,24.943791,67.029676
Orangi Town,21,24.956702,66.954532
Lyari,101,24.840632,67.005398
Malir,442,24.897432,67.223902
Shah Faisal,85,24.86735,67.145454
North Nazimabad,292,24.934535,67.042943
Malir,484,24.88618,67.212484
Saddar,356,24.854451,67.010797
Shah Faisal,230,24.860145,67.150858
Orangi Town,18,24.946971,66.963178
Landhi,401,24.842531,67.195482
Landhi,482,24.857909,67.206962
Clifton,266,24.821944,67.020097
Gulshan-e-Iqbal,279,24.920522,67.098084
North Nazimabad,416,24.947506,67.034308
Clifton,306,24.809052,67.037599
North Nazimabad,398,24.950342,67.046694
Gulshan-e-Iqbal,136,24.934761,67.099763
Clifton,394,24.809829,67.02411
DHA,281,24.803056,67.075514
Saddar,283,24.86999,67.007108
DHA,240,24.811601,67.058177
SITE,381,24.926174,66.9911
Gulshan-e-Iqbal,56,24.919057,67.101789
North Nazimabad,320,24.947419,67.043831
Malir,73,24.887228,67.215138
Saddar,499,24.867037,67.010651
Korangi,471,24.835416,67.12991
Gulberg,212,24.927145,67.07925
Saddar,94,24.867355,67.000461
DHA,174,24.821496,67.057504
DHA,149,24.821273,67.075769
Shah Faisal,63,24.869328,67.153401
Gulberg,102,24.917637,67.082471
Lyari,38,24.852735,67.019987
Landhi,431,24.859341,67.192083
Gulshan-e-Iqbal,17,24.923308,67.10804
Gulshan-e-Iqbal,345,24.936096,67.104976
Landhi,409,24.851263,67.205807
Shah Faisal,77,24.861888,67.145739
Malir,215,24.882236,67.223913
Gulshan-e-Iqbal,45,24.928685,67.104952
Gulberg,419,24.926841,67.077422
Korangi,261,24.848518,67.14223
Landhi,175,24.844459,67.199597
Korangi,158,24.843912,67.123618
Korangi,88,24.846584,67.139555
Clifton,260,24.816604,67.031245
Shah Faisal,96,24.865851,67.147759
Gulberg,15,24.929088,67.071148
Saddar,179,24.865399,67.013978
Clifton,447,24.819143,67.0254
Clifton,231,24.815644,67.024537
Korangi,191,24.839543,67.142297
Shah Faisal,68,24.868618,67.152207
Gulberg,431,24.928759,67.085245
SITE,405,24.922658,66.99382
SITE,317,24.919875,66.992585
Malir,243,24.883162,67.220522
SITE,195,24.914156,66.984095
DHA,62,24.816233,67.072208
Gulberg,245,24.915819,67.078849
Shah Faisal,457,24.872645,67.158107
Saddar,346,24.857685,67.007543
DHA,256,24.819857,67.072863
Gulberg,225,24.918543,67.080243
North Nazimabad,252,24.950272,67.034912
Clifton,65,24.817987,67.021623
Korangi,150,24.837635,67.135541
Clifton,236,24.819325,67.034419
Gulberg,12,24.91333,67.084705
Korangi,197,24.848196,67.127007
Korangi,19,24.833281,67.128307
DHA,69,24.821065,67.065541
Clifton,470,24.803843,67.037459
Korangi,393,24.847149,67.133302
North Nazimabad,446,24.947141,67.038245
Orangi Town,497,24.943743,66.966205
Orangi Town,402,24.954707,66.960963
DHA,488,24.82257,67.06835
Lyari,315,24.844829,67.005503
DHA,51,24.803854,67.058313
Clifton,195,24.8225,67.0366
SITE,476,24.925693,66.986893
DHA,179,24.813748,67.064467
Lyari,410,24.844456,67.009299
DHA,138,24.816233,67.072976
Clifton,316,24.805151,67.023402
Gulshan-e-Iqbal,119,24.932134,67.10798
SITE,136,24.917468,66.988598
North Nazimabad,266,24.935005,67.039812
Saddar,357,24.854752,67.000858
Saddar,422,24.855664,67.014739
Gulberg,196,24.920591,67.086979
Saddar,201,24.850042,67.011858
Orangi Town,499,24.954866,66.966037
Orangi Town,207,24.947766,66.968347
Gulberg,258,24.927929,67.086669
Clifton,348,24.822494,67.023365
Korangi,240,24.831844,67.123578
Malir,14,24.890007,67.222087
Shah Faisal,78,24.870004,67.148358
SITE,468,24.911005,66.982021
DHA,87,24.809459,67.069346
Gulshan-e-Iqbal,55,24.935999,67.096913
Gulshan-e-Iqbal,253,24.929527,67.098723
Malir,296,24.883999,67.224157
Shah Faisal,402,24.879049,67.15604
Shah Faisal,203,24.869941,67.155276
North Nazimabad,123,24.942662,67.047103
Lyari,31,24.847499,67.01008
North Nazimabad,207,24.941054,67.042293
Clifton,338,24.823781,67.031652
North Nazimabad,180,24.940808,67.039288
North Nazimabad,329,24.940407,67.033881
Korangi,480,24.838502,67.127028
Orangi Town,437,24.94155,66.95186
Gulshan-e-Iqbal,367,24.923422,67.110414
Shah Faisal,296,24.876189,67.152926
Saddar,412,24.857337,67.005703
Clifton,34,24.81389,67.028691
Clifton,267,24.820218,67.037982
Landhi,382,24.855216,67.193767
Gulberg,395,24.923568,67.082802
Clifton,243,24.803993,67.038009
Lyari,144,24.859567,67.010667
Malir,248,24.892196,67.223736
DHA,323,24.806011,67.067624
SITE,48,24.929974,66.994477
Clifton,48,24.803889,67.031575
Korangi,124,24.831477,67.136401
Gulshan-e-Iqbal,435,24.923989,67.099508
SITE,275,24.920554,66.981952
Saddar,337,24.856191,67.002649
SITE,383,24.910293,66.983351
Orangi Town,176,24.945538,66.96537
Clifton,360,24.812509,67.023059
Korangi,499,24.831891,67.127221
SITE,256,24.917816,66.982936
Landhi,251,24.856221,67.203244
Orangi Town,411,24.942688,66.960043
Malir,52,24.888461,67.218478
Gulberg,133,24.916465,67.070449
SITE,439,24.911185,66.991073
Korangi,494,24.840912,67.127451
Clifton,82,24.810943,67.038678
Gulshan-e-Iqbal,294,24.927333,67.094984
North Nazimabad,29,24.943718,67.035403
Lyari,437,24.845156,67.009643
Korangi,469,24.833717,67.142435
Malir,107,24.892977,67.212897
Gulshan-e-Iqbal,176,24.933039,67.108645
Orangi Town,19,24.958341,66.960845
Clifton,225,24.819996,67.019567
Gulberg,382,24.910185,67.079303
North Nazimabad,353,24.942587,67.045007
Lyari,357,24.851948,67.004701
Saddar,17,24.869155,67.015872
North Nazimabad,192,24.944792,67.039464
Korangi,194,24.84904,67.137711
SITE,289,24.923619,66.987064
Orangi Town,237,24.957541,66.95857
Malir,346,24.894991,67.220383
Clifton,356,24.820072,67.038334
Lyari,153,24.844434,67.012845
Saddar,305,24.854413,67.002071
DHA,439,24.81898,67.064644
SITE,190,24.920519,66.986251
Lyari,48,24.849897,67.01894
SITE,403,24.919781,66.986875
DHA,33,24.805133,67.06072
Landhi,55,24.844533,67.197985
Saddar,252,24.857037,67.003829
Lyari,174,24.8416,67.00168
Gulberg,365,24.921547,67.082573
DHA,135,24.821389,67.060818
North Nazimabad,341,24.942963,67.031973
Gulberg,228,24.920924,67.07187
Gulshan-e-Iqbal,287,24.935104,67.100264
Lyari,27,24.847272,67.002675
SITE,225,24.925762,66.989349
Landhi,338,24.845388,67.198992
Malir,264,24.892844,67.223333
Gulshan-e-Iqbal,330,24.920633,67.104571
Orangi Town,455,24.950007,66.954075
Landhi,360,24.851535,67.20266
Malir,173,24.88707,67.207584
North Nazimabad,479,24.941953,67.040598
Clifton,325,24.822158,67.025366
Shah Faisal,210,24.875988,67.156356
Shah Faisal,142,24.877188,67.147479
Gulshan-e-Iqbal,428,24.934017,67.094863
Malir,370,24.892319,67.215285
Clifton,93,24.809413,67.030166
Shah Faisal,188,24.865198,67.148511
Orangi Town,396,24.951031,66.958206
SITE,190,24.918045,66.990462
Saddar,493,24.869083,67.016196
Lyari,489,24.849371,67.016136
Malir,298,24.889459,67.221128
Gulshan-e-Iqbal,129,24.916792,67.100234
Saddar,15,24.860195,67.016228
Landhi,262,24.855729,67.20583
Malir,124,24.887324,67.210907
Saddar,383,24.853482,67.009811
Saddar,351,24.853612,67.01061
Gulberg,430,24.910861,67.070026
Gulberg,170,24.918881,67.075941
Lyari,232,24.847462,67.016612
Shah Faisal,135,24.878377,67.154161
Clifton,138,24.806136,67.039004
Gulberg,250,24.924373,67.071758
Clifton,375,24.809119,67.033342
Orangi Town,306,24.957914,66.955125
Clifton,171,24.809256,67.02627
Gulberg,383,24.917576,67.071389
Korangi,345,24.835052,67.138442
North Nazimabad,73,24.937837,67.033622
SITE,358,24.917659,66.996705
Malir,466,24.884202,67.215785
Shah Faisal,384,24.879514,67.143211
Malir,354,24.89454,67.223374
Landhi,10,24.851071,67.193556
North Nazimabad,152,24.936257,67.039026
DHA,477,24.804384,67.072654
Clifton,42,24.816592,67.02438
North Nazimabad,261,24.938573,67.030848
SITE,252,24.922279,66.986635
Gulshan-e-Iqbal,308,24.918769,67.096782
Lyari,407,24.857233,67.014639
SITE,232,24.927507,66.987997
Landhi,321,24.842936,67.19798
Korangi,30,24.833117,67.131299
Gulshan-e-Iqbal,306,24.933749,67.100756
Landhi,295,24.851734,67.20568
North Nazimabad,307,24.942715,67.037032
Gulberg,404,24.916468,67.07009
DHA,16,24.80806,67.063894
Landhi,154,24.853321,67.208969
Lyari,8,24.849508,67.017405
North Nazimabad,408,24.945108,67.028367
Orangi Town,416,24.948338,66.954619
Gulberg,234,24.928921,67.084197
North Nazimabad,450,24.935266,67.041461
North Nazimabad,210,24.951829,67.039784
Saddar,431,24.855161,67.006256
SITE,367,24.913985,66.984193
DHA,56,24.810378,67.059162
Gulberg,487,24.916895,67.073188
Clifton,43,24.813103,67.031573
North Nazimabad,451,24.940827,67.041138
Landhi,235,24.845581,67.207265
Malir,220,24.894258,67.206131
Gulberg,416,24.928983,67.07835
Malir,400,24.89494,67.20578
Orangi Town,149,24.942393,66.954632
North Nazimabad,328,24.944844,67.032476
Orangi Town,180,24.945936,66.960335
Gulshan-e-Iqbal,395,24.935756,67.097553
North Nazimabad,481,24.94988,67.031742
Shah Faisal,251,24.861145,67.150774
Orangi Town,221,24.949916,66.957892
Malir,79,24.894582,67.206146
Orangi Town,133,24.954047,66.966897
North Nazimabad,325,24.948109,67.030652
Clifton,339,24.810812,67.03901
Shah Faisal,235,24.86098,67.141337
Malir,411,24.893678,67.210271
Landhi,309,24.841711,67.196106
Shah Faisal,131,24.866286,67.156161
SITE,265,24.92296,66.995602
Korangi,475,24.839456,67.124695
Gulberg,311,24.919962,67.085963
SITE,417,24.916386,66.983787
Korangi,383,24.841771,67.13353
Korangi,393,24.848848,67.124317
Orangi Town,397,24.944228,66.963656
SITE,353,24.913473,66.995402
Shah Faisal,357,24.865512,67.147364
Gulberg,457,24.927148,67.088109
DHA,55,24.811141,67.071962
Gulshan-e-Iqbal,333,24.916378,67.108082
North Nazimabad,244,24.933272,67.039118
Malir,298,24.895728,67.216062
Clifton,220,24.822324,67.029882
Gulberg,355,24.917053,67.084673
Gulberg,300,24.922921,67.084661
Lyari,83,24.850808,67.017995
Orangi Town,325,24.944488,66.968922
Saddar,123,24.853363,67.017894
Gulberg,270,24.92666,67.089609
North Nazimabad,194,24.937924,67.03984
Malir,291,24.881606,67.220075
North Nazimabad,186,24.949306,67.046099
Korangi,468,24.845668,67.133156
Landhi,384,24.847049,67.206662
North Nazimabad,68,24.933885,67.044777
DHA,475,24.821637,67.05916
DHA,13,24.81853,67.067192
DHA,398,24.808423,67.067595
Saddar,367,24.866025,67.006989
Gulshan-e-Iqbal,342,24.927843,67.092874
SITE,207,24.928393,66.995532
Gulshan-e-Iqbal,462,24.929624,67.103962
Lyari,26,24.847547,67.008924
Korangi,430,24.843573,67.134067
Orangi Town,173,24.955649,66.969501
Orangi Town,317,24.955729,66.969637
Gulberg,28,24.919002,67.085034
Shah Faisal,305,24.87053,67.144374
Shah Faisal,117,24.874077,67.141632
DHA,56,24.80378,67.076973
Korangi,464,24.843964,67.135993
Saddar,61,24.852844,67.018637
SITE,164,24.929701,66.999887
Lyari,146,24.847256,67.011624
